jd,filter,mag,magerr,source,note
2459712.45586,V,19.298,0.0992,532,1m001
2459712.45848,V,19.1613,0.0953,532,1m001
2459712.46132,g,19.692,0.0877,532,1m001
2459712.46511,g,19.688,0.0917,532,1m001
2459712.46911,r,18.5887,0.0579,532,1m001
2459712.47173,r,18.638,0.0569,532,1m001
2459712.47453,i,18.5123,0.0751,532,1m001
2459712.47717,i,18.5878,0.0761,532,1m001
2459718.91839,B,21.0978,0.3071,354,1m006
2459718.9222,B,20.5996,0.2112,354,1m006
2459718.92624,V,19.4669,0.1203,354,1m006
2459718.92886,V,19.3323,0.0894,354,1m006
2459718.93171,g,20.032,0.1416,354,1m006
2459718.9355,g,19.7445,0.1048,354,1m006
2459718.93955,r,18.682,0.0619,354,1m006
2459718.94217,r,18.6679,0.0599,354,1m006
2459718.94507,i,18.6375,0.0918,354,1m006
2459718.9477,i,18.5753,0.0869,354,1m006
2459724.89965,B,20.8257,0.1962,354,1m006
2459724.90364,V,19.8833,0.1223,354,1m006
2459724.90626,V,20.128,0.1602,354,1m006
2459724.90905,g,20.5524,0.1057,354,1m006
2459724.91285,g,20.5664,0.1077,354,1m006
2459724.9168,r,19.1938,0.055,354,1m006
2459724.91941,r,19.1579,0.0639,354,1m006
2459724.92222,i,19.1305,0.1154,354,1m006
2459724.92484,i,18.999,0.1194,354,1m006
2459732.64224,B,21.7042,0.3051,532,1m001
2459732.64602,B,21.896,0.3451,532,1m001
2459732.64998,V,20.9664,0.3061,532,1m001
2459732.6526,V,20.7222,0.1832,532,1m001
2459732.65542,g,21.1623,0.1309,532,1m001
2459732.65922,g,21.2205,0.1349,532,1m001
2459732.66321,r,19.8229,0.1016,532,1m001
2459732.66583,r,19.869,0.0956,532,1m001
2459732.66862,i,19.5251,0.1303,532,1m001
2459732.67124,i,19.639,0.1303,532,1m001
2459738.6109,B,20.6634,0.1992,9,1m005
2459738.61469,B,20.825,0.1992,9,1m005
2459738.61865,V,20.8525,0.2351,9,1m005
2459738.62129,V,21.1375,0.2831,9,1m005
2459738.62409,g,21.6617,0.3102,9,1m005
2459738.62787,g,21.3075,0.2315,9,1m005
2459738.63184,r,19.7262,0.1454,9,1m005
2459738.63447,r,19.7047,0.1324,9,1m005
2459738.63729,i,19.7298,0.1611,9,1m005
2459738.63991,i,19.7029,0.1511,9,1m005
2459744.57803,V,20.8883,0.4081,532,1m001
2459744.58065,V,21.0092,0.4831,532,1m001
2459744.58836,B,19.099,0.3381,9,1m005
2459776.36152,i,20.0964,0.2028,4,1m0-12
2459789.31283,B,21.8034,0.3062,6,1m0-10
2459789.31777,B,22.1463,0.4292,6,1m0-10
2459789.32667,V,21.2094,0.2911,6,1m0-10
2459789.33065,g,21.9377,0.2878,6,1m0-10
2459789.33557,g,22.2555,0.3863,6,1m0-10
2459789.34069,r,20.3801,0.1704,6,1m0-10
2459789.34447,r,20.0657,0.1355,6,1m0-10
2459789.34844,i,20.1026,0.2198,6,1m0-10
2459789.35222,i,20.4712,0.2487,6,1m0-10
2459800.5109,B,20.9128,0.2022,9,1m005
2459800.52096,V,20.4685,0.1572,9,1m005
2459800.52872,g,21.7213,0.3508,9,1m005
2459800.53879,r,19.5932,0.1265,9,1m005
2459800.54257,r,19.524,0.1295,9,1m005
2459800.54653,i,19.3885,0.176,9,1m005
2459811.43986,V,21.9509,0.4461,533,1m0-14
2459811.44759,g,22.1379,0.2937,533,1m0-14
2459811.4577,r,20.776,0.1934,533,1m0-14
2459811.46148,r,20.4647,0.1744,533,1m0-14
2459811.46545,i,20.2935,0.2119,533,1m0-14
2459811.46924,i,20.8516,0.3885,533,1m0-14
2459822.87836,B,22.0207,0.4543,11,1m003
2459822.89226,V,21.6452,0.4082,11,1m003
2459822.89622,g,22.2733,0.3939,11,1m003
2459822.90117,g,22.1985,0.3899,11,1m003
2459822.90631,r,20.6747,0.1983,11,1m003
2459822.91009,r,20.4771,0.2133,11,1m003
2459822.91408,i,20.2774,0.2059,11,1m003
2459822.91786,i,20.5525,0.2607,11,1m003
2459833.60071,B,21.8093,0.1754,7,1m008
2459833.60583,V,21.1321,0.4011,7,1m008
2459833.6185,g,21.8029,0.3327,7,1m008
2459833.62366,r,20.8695,0.1405,7,1m008
2459833.62744,r,20.3094,0.1027,7,1m008
2459833.63139,i,21.0776,0.4055,7,1m008
2459833.63517,i,20.4199,0.2558,7,1m008
2459844.59071,B,22.3732,0.3781,354,1m006
2459844.59565,B,21.9773,0.2841,354,1m006
2459844.60858,g,21.5952,0.1544,354,1m006
2459844.61351,g,21.7356,0.1897,354,1m006
2459844.61863,r,20.928,0.2274,354,1m006
2459844.6264,i,20.8474,0.2868,354,1m006
2459637.9505556,r,18.529572,0.09592814,5600,ZTF
2459637.9953472,g,18.197872,0.08609009,5600,ZTF
2459639.9363426,g,17.253483,0.043660883,5600,ZTF
2459640.020081,r,17.569622,0.05680191,5600,ZTF
2459641.9577894,r,17.511406,0.044087753,5600,ZTF
2459673.8782292,r,17.995811,0.075649135,5600,ZTF
2459673.8782292,r,17.9934,0.076364,5600,ZTF
2459673.9193403,g,18.429787,0.077125736,5600,ZTF
2459673.9193403,g,18.4204,0.077847,5600,ZTF
2459675.8943519,g,18.507357,0.078612804,5600,ZTF
2459675.9199653,r,18.007698,0.075626194,5600,ZTF
2459677.9020486,r,18.02711,0.051679503,5600,ZTF
2459677.9785069,g,18.52476,0.0666697,5600,ZTF
2459679.7960185,g,18.603031,0.1079181,5600,ZTF
2459679.8814352,r,18.047338,0.061245818,5600,ZTF
2459683.8980093,r,18.06837,0.07403529,5600,ZTF
2459683.9579977,g,18.711733,0.0837561,5600,ZTF
2459685.8536343,r,18.128798,0.088190064,5600,ZTF
2459685.895162,g,18.738136,0.15604827,5600,ZTF
2459693.9364583,g,18.813976,0.08252202,5600,ZTF
2459697.876713,r,18.194815,0.13629013,5600,ZTF
2459697.936794,g,18.93071,0.076016024,5600,ZTF
2459700.8950347,r,18.153593,0.05618745,5600,ZTF
2459702.8337153,g,19.053102,0.081042565,5600,ZTF
2459702.873831,r,18.176535,0.06795355,5600,ZTF
2459708.8177662,r,18.306973,0.081129774,5600,ZTF
2459708.8376736,r,18.241232,0.08959781,5600,ZTF
2459710.9341898,g,19.346159,0.1076058,5600,ZTF
2459712.8574769,r,18.477472,0.09559988,5600,ZTF
2459712.9458565,g,19.43079,0.16399238,5600,ZTF
2459714.8066088,g,19.7422,0.398643,5600,ZTF
2459714.8362269,r,18.41077,0.12967843,5600,ZTF
2459717.8360301,g,19.7707,0.312931,5600,ZTF
2459719.842037,r,18.649433,0.0950024,5600,ZTF
2459719.9140394,r,18.658527,0.09819396,5600,ZTF
2459723.8328819,r,18.991476,0.10221241,5600,ZTF
2459723.8577546,g,20.1897,0.217318,5600,ZTF
2459725.8169792,r,19.1479,0.11576,5600,ZTF
2459727.8175231,r,19.322817,0.17947246,5600,ZTF
2459730.7768403,r,19.425652,0.12571502,5600,ZTF
2459732.8113657,r,19.524143,0.10843229,5600,ZTF
2459736.8501157,r,19.678123,0.14331031,5600,ZTF
2459738.7964352,r,19.664557,0.13309342,5600,ZTF
2459740.8189815,r,19.600355,0.18852219,5600,ZTF
2459742.7754861,r,19.6158,0.233331,5600,ZTF
2459747.8500463,r,19.717596,0.17992307,5600,ZTF
2459749.8195833,r,19.741993,0.15547575,5600,ZTF
2459751.7917014,r,19.738302,0.16341805,5600,ZTF
2459753.8169907,r,19.800783,0.17034154,5600,ZTF
2459756.8424769,r,19.782843,0.21564423,5600,ZTF
2459760.7539468,r,19.856085,0.1450935,5600,ZTF
2459762.7566898,r,19.993189,0.18454911,5600,ZTF
2459764.754838,r,19.875126,0.19295722,5600,ZTF
2459766.7660648,r,19.907175,0.16382085,5600,ZTF
2459773.732419,r,19.8827,0.247948,5600,ZTF
2459775.7774653,r,20.004,0.275263,5600,ZTF
2459775.8168866,r,19.7431,0.231799,5600,ZTF
2459777.7119444,r,19.932844,0.17673309,5600,ZTF
2459779.7084375,r,19.902107,0.14083979,5600,ZTF
2459782.7690741,r,20.057364,0.18485537,5600,ZTF
2459786.735787,r,20.0001,0.233906,5600,ZTF
2459790.7323032,r,20.038548,0.20031685,5600,ZTF
2459794.7557986,r,19.994495,0.17503124,5600,ZTF
2459623.9664005,r,19.8905,0,5600,ZTF
2459624.0054282,g,19.9567,0,5600,ZTF
2459625.9849306,r,19.6852,0,5600,ZTF
2459626.0190625,g,19.4202,0,5600,ZTF
2459628.9661574,r,19.2672,0,5600,ZTF
2459629.0062384,g,19.5272,0,5600,ZTF
2459630.9642708,g,19.8577,0,5600,ZTF
2459631.0377778,r,19.9347,0,5600,ZTF
2459688.9089468,g,17.3893,0,5600,ZTF
2459695.8986227,r,17.0326,0,5600,ZTF
2459727.839456,g,20.3428,0,5600,ZTF
2459730.8336921,g,20.9373,0,5600,ZTF
2459732.7890509,g,20.7249,0,5600,ZTF
2459734.7704167,r,20.0439,0,5600,ZTF
2459734.831956,g,20.9185,0,5600,ZTF
2459736.8124421,g,20.906,0,5600,ZTF
2459740.8940509,g,20.0781,0,5600,ZTF
2459742.8145486,g,19.26,0,5600,ZTF
2459751.8354167,g,20.6608,0,5600,ZTF
2459753.775787,g,20.7107,0,5600,ZTF
2459756.7909606,g,20.7698,0,5600,ZTF
2459758.7898958,r,20.6041,0,5600,ZTF
2459762.710081,g,20.5698,0,5600,ZTF
2459764.7333796,g,20.7336,0,5600,ZTF
2459766.8106597,g,20.808,0,5600,ZTF
2459769.7316667,g,20.035,0,5600,ZTF
2459769.8169444,g,19.8873,0,5600,ZTF
2459771.780787,g,19.7555,0,5600,ZTF
2459771.8371296,g,19.6439,0,5600,ZTF
2459773.8149537,r,19.3051,0,5600,ZTF
2459782.7913889,g,20.4294,0,5600,ZTF
2459784.7342708,g,20.4638,0,5600,ZTF
2459784.7903241,r,20.3738,0,5600,ZTF
2459786.6900579,g,20.2431,0,5600,ZTF
2459788.6920602,g,20.4281,0,5600,ZTF
2459790.6802662,g,20.5962,0,5600,ZTF
2459792.7683449,g,19.9368,0,5600,ZTF
2459794.7165625,g,20.3702,0,5600,ZTF
